name,size,values,imports
node.0.sguconsulting,1.0,,
node.0.billypidgeon,3.0,,['node.0.abirnbaum']
node.0.rodsav,121.0,,"['node.3.julestullberg', 'node.3.GeorgiClelland', 'node.3.MedianetEditor', 'node.3.adaromas', 'node.3.katie_robertson', 'node.3.CelesteVillani', 'node.3.dixie_sulda', 'node.3.AusPolStats', 'node.0.TiffanyLaBanca', 'node.0.finn_bradshaw', 'node.3.DaniLeMessurier', 'node.0.shannonomeara', 'node.3.1310greg', 'node.3.influencingcom', 'node.1.samanthamaiden', 'node.1.andrew_hough', 'node.3.annikasmethurst', 'node.3.AnthDeCeglie', 'node.0.katie_spain', 'node.3.JournoLawJ', 'node.0.AlexBrown77', 'node.3.diversionary', 'node.3.Nic_Coxy', 'node.3.larasinclair', 'node.0.earleyedition', 'node.1.TwistedKristy', 'node.3.antonrosetweet', 'node.3.TheRealJessLeo', 'node.1.jonhilldesign', 'node.3.D_JervisBardy', 'node.0.saline', 'node.3.purcellpw', 'node.3.GlennStanaway', 'node.3.TSWestbrook', 'node.0.benscadden', 'node.3.lanai_scarr', 'node.3.ByEichler', 'node.1.Carly__Douglas', 'node.1.karajung', 'node.3.Dean_Nye', 'node.3.nichopkins', 'node.1.furlernator', 'node.3.patkeam', 'node.0.SydneyEditor', 'node.3.LydiaKellner', 'node.0.StephenFenech', 'node.1.jennamclarke', 'node.3.msmarto', 'node.3.KaitlynOffer', 'node.3.BelindaWillis', 'node.3.Rencastello', 'node.3.Storyful', 'node.0.RedmanMediaAU', 'node.3.darrenwick9', 'node.0.rodpeno', 'node.3.SelinaSteele', 'node.3.paulstarick', 'node.0.abirnbaum', 'node.3.RyanNorthover', 'node.2.DavidClinchNews', 'node.3.LukeDennehy', 'node.3.murphymiranda', 'node.0.hughjm', 'node.0.CameronEngland', 'node.0.markjmusgrave', 'node.3.LachCartwright', 'node.0.GregBarila', 'node.1.LillSaleh']"
node.0.Daniel_Blackman,3.0,,"['node.3.JasonHirschhorn', 'node.3.lmoses']"
node.0.leemlevitt,0.0,,
node.0.PaulCarrollco,6.0,,['node.3.timburrowes']
node.0.alexisbe76,0.0,,
node.0.RhysPlank,0.0,,
node.0.onuraydin_,1.0,,['node.0.Micarus64']
node.0.wanderingscout,6.0,,"['node.3.SkipperAust', 'node.3.samanthabrett', 'node.1.annelisenews']"
node.0.OriginalMktg,0.0,,
node.0.Farrellydee,6.0,,"['node.2.LauraByrneStory', 'node.3.AineKerr']"
node.0.JoeMattiello,0.0,,
node.0.ThriftiesNews,0.0,,
node.0.RalphLavelle,1.0,,
node.0.JossDuggan,1.0,,
node.0.timstottlive,0.0,,
