id,name,values,category,source_count,target_count,EC
a281588807,sguconsulting,100.0,0,0.0,1.0,371.0
a16691000,billypidgeon,100.0,0,1.0,2.0,260.0
a19044902,rodsav,100.0,0,68.0,53.0,20930.0
a16211705,Daniel_Blackman,100.0,0,2.0,1.0,342.0
a41823369,leemlevitt,100.0,0,0.0,0.0,0.0
a32339119,PaulCarrollco,100.0,0,1.0,5.0,1879.0
a194818057,alexisbe76,100.0,0,0.0,0.0,0.0
a1375425098631503873,RhysPlank,100.0,0,0.0,0.0,0.0
a36009499,onuraydin_,100.0,0,1.0,0.0,12.0
a112889836,wanderingscout,100.0,0,3.0,3.0,922.0
a278299298,OriginalMktg,100.0,0,0.0,0.0,0.0
a145315101,Farrellydee,100.0,0,2.0,4.0,1361.0
a14484568,JoeMattiello,100.0,0,0.0,0.0,0.0
a234634593,ThriftiesNews,100.0,0,0.0,0.0,0.0
a1382508505492426754,RalphLavelle,100.0,0,0.0,1.0,430.0
a268234279,JossDuggan,100.0,0,0.0,1.0,137.0
a246724824,timstottlive,100.0,0,0.0,0.0,0.0
a8732322,standupkid,100.0,0,30.0,19.0,7822.0
a717,Manu,100.0,0,1.0,0.0,12.0
a737007193476739072,theunschoolblog,100.0,0,0.0,0.0,0.0
a50824475,ozburns,100.0,0,0.0,0.0,0.0
a31377146,JordyCannon,100.0,0,1.0,0.0,127.0
a592584473,alicemdonaldson,100.0,0,4.0,7.0,2490.0
a25041123,chrismewett,100.0,0,2.0,4.0,110.0
a818529,CMS3rd,100.0,0,1.0,1.0,64.0
a2153258946,mandersonsfca,100.0,0,8.0,13.0,3002.0
a23373409,GregBarila,100.0,0,192.0,133.0,56454.0
a17125728,rwebber,100.0,0,17.0,20.0,6648.0
a15244244,steveclancy,100.0,0,0.0,0.0,0.0
a17538244,sublimino,100.0,0,4.0,3.0,81.0
a1924438339,alangkarapatan,100.0,0,2.0,2.0,528.0
a196819524,irlgaming,100.0,0,2.0,1.0,92.0
a24655435,simoen,100.0,0,1.0,4.0,1545.0
a23187732,nadiazonis,100.0,0,1.0,5.0,1743.0
a237097176,hughskr,100.0,0,0.0,4.0,668.0
a15977128,Jessicakpark,100.0,0,0.0,0.0,0.0
a7213802,rajivpant,100.0,0,70.0,73.0,19481.0
a22373168,acohen365,100.0,0,0.0,0.0,0.0
a22605688,ChelleMason,100.0,0,1.0,6.0,1619.0
a36830769,rodpeno,100.0,0,37.0,15.0,5714.0
a2447810472,gamble_elaine,100.0,0,0.0,1.0,800.0
a17653842,therewasaguy,100.0,0,0.0,0.0,0.0
a14710481,arensberg,100.0,0,0.0,0.0,0.0
a43802633,mayanurali,100.0,0,1.0,2.0,508.0
a23381612,jasonealey,100.0,0,7.0,3.0,565.0
a21290028,JimmyCollier,100.0,0,0.0,3.0,964.0
a28670005,alexmcneilly,100.0,0,5.0,15.0,4180.0
a11766332,pmcaree,100.0,0,0.0,0.0,0.0
a231600308,tvariadne,100.0,0,3.0,4.0,805.0
a149867945,yoni_bashan,100.0,0,146.0,53.0,42667.0
a1167068322547953665,food_natures,100.0,0,0.0,0.0,0.0
a24621292,claudiacukrov,100.0,0,0.0,1.0,238.0
a162925433,jlilley626,100.0,0,1.0,6.0,1753.0
a105610543,FreeRangePamela,100.0,0,0.0,0.0,0.0
a15845793,IABAustralia,100.0,0,59.0,26.0,7785.0
a7557392,mrosen,100.0,0,2.0,3.0,692.0
a97966078,realrobcopeland,100.0,0,102.0,48.0,22485.0
a27815100,bellamac14,100.0,0,3.0,8.0,2253.0
a246155862,EyadElwan,100.0,0,0.0,0.0,0.0
a475987285,jaed_k,100.0,0,0.0,0.0,0.0
a27571131,DanielaElser,100.0,0,14.0,12.0,5771.0
a843828560095776772,HearSteveRoss,100.0,0,0.0,0.0,0.0
a303886429,JordanKurzweil,100.0,0,2.0,5.0,1746.0
a16940693,martinamartina,100.0,0,3.0,2.0,480.0
a146001552,shazaansayeed,100.0,0,0.0,0.0,0.0
a31570190,MarkNiuWrite,100.0,0,2.0,3.0,496.0
a64172365,justincormack,100.0,0,5.0,7.0,841.0
a45946901,jeffweissner,100.0,0,0.0,0.0,0.0
a19653604,scottnorvell,100.0,0,8.0,12.0,3656.0
a14121838,LozCrowther,100.0,0,6.0,4.0,356.0
a111415215,mariecamilleh,100.0,0,55.0,80.0,31761.0
a21162775,JZMak,100.0,0,2.0,0.0,72.0
a51995095,lamsy_senior,100.0,0,0.0,1.0,23.0
a3332669817,TizianaSRinaldi,100.0,0,1.0,0.0,27.0
a275982769,benscadden,100.0,0,35.0,41.0,11695.0
a49424508,dehnj,100.0,0,0.0,1.0,800.0
a28213817,Ro_Smith,100.0,0,125.0,71.0,37497.0
a22017074,nlanese,100.0,0,0.0,0.0,0.0
a18028748,donaldgardner,100.0,0,1.0,1.0,188.0
a1145984850391965696,tobi_,100.0,0,0.0,0.0,0.0
a23671175,mektomek,100.0,0,1.0,0.0,66.0
a22000820,colebatchd,100.0,0,0.0,0.0,0.0
a24658299,therealmaxsim,100.0,0,1.0,3.0,105.0
a544446644,iseelondon312,100.0,0,0.0,2.0,562.0
a1968641286,ColetteGall,100.0,0,2.0,10.0,3637.0
a14288039,DrJohnCokley,100.0,0,8.0,6.0,2857.0
a3054975403,LindenDawson,100.0,0,0.0,2.0,113.0
a27024434,Hegle,100.0,0,0.0,0.0,0.0
a97762619,DisrupTiv,100.0,0,0.0,0.0,0.0
